Ticker,Company,Price,Market_Cap,Revenue,EBITDA,R&D_Expense,YTD_Return,Valuation_Multiple,R&D_Intensity,Z_Valuation,Z_Innovation,Z_Momentum,Final_Score,Score_0_100,Rank,Valuation_Display,RD_Display,YTD_Display
INTC.O,Intel Corp,4.376e-05,208735.2,53439.0,11222.0,14431.0,118.254364089776,18.600534664052756,0.27004622092479275,0.560708079326233,2.113966007622552,0.9725581436443025,1.3055662699401815,100.0,1,18.6x,27.0%,118.3%
MU.O,Micron Technology Inc,0.00023416,263511.89839664,37378.0,18218.0,3798.0,178.231939163498,14.464370314888573,0.10161057306436941,0.8436719200184006,-0.6086546765101097,2.091416470995223,0.6370646467000431,67.41452930886916,2,14.5x,10.2%,178.2%
QCOM.O,Qualcomm Inc,0.00017507,187147.84978323,44284.0,13996.0,9042.0,13.9630256477021,13.371523991371106,0.20418209737151116,0.9184358720483307,1.0493278065866745,-0.9729561980585819,0.40337502483159443,56.02355274353572,3,13.4x,20.4%,14.0%
LRCX.O,Lam Research Corp,0.00015975,200650.7925,19591.788,6859.485,2177.475,121.16848954728,29.251582662546827,0.1111422295912961,-0.16795287189045052,-0.45458345973441,1.0269200202467825,0.07585676061313557,40.058988966153635,4,29.3x,11.1%,121.2%
AMD.O,Advanced Micro Devices Inc,0.0002176,354261.839104,32027.0,6247.0,7473.0,80.1473631923172,56.7091146316632,0.2333343741218347,-2.046381301234456,1.5205498589147075,0.261686868303745,0.07281161368666986,39.91055619879312,5,56.7x,23.3%,80.1%
0981.HK,Semiconductor Manufacturing International Corp,8.967572845e-06,86289.6576213027,8834.736,4270.202,727.232,119.496855345912,20.20739478397104,0.08231507992994923,0.4507793452131808,-0.9205501059256541,0.9957363346078371,0.06573466157604366,39.56559695327082,6,20.2x,8.2%,119.5%
AMAT.O,Applied Materials Inc,0.00026863,214002.05516501,28368.0,8959.0,3570.0,65.1786263297055,23.88682388268892,0.1258460236886633,0.1990617388907623,-0.21690898611055182,-0.017549093938342468,-0.032309800958494776,34.78651362829401,7,23.9x,12.6%,65.2%
ADI.O,Analog Devices Inc,0.00027824,136241.35594928,11019.707,5001.321,1766.001,30.9611220935706,27.241074098079288,0.16025843518344,-0.030409685227378865,0.33933872342539395,-0.655863322359667,-0.07014641290595619,32.94220425520696,8,27.2x,16.0%,31.0%
ASML.O,ASML Holding NV,0.00114092,434633.722083314,35779.8072189274,13596.9721093013,5077.05230892351,64.615917354418,31.965478680800814,0.14189713985484434,-0.35361629716500714,0.04254381638452466,-0.028046210937515,-0.09748122587694677,31.60979500450602,9,32.0x,14.2%,64.6%
TSM.N,Taiwan Semiconductor Manufacturing Co Ltd,0.00029545,1196822.0355428,116240.546338373,79864.3151541051,7639.69678037756,49.6025115195706,14.98569208580113,0.06572316649423356,0.8080071837842931,-1.1887444417639428,-0.3081154554771726,-0.325530258213441,20.493763567926848,10,15.0x,6.6%,49.6%
AVGO.O,Broadcom Inc,0.00038061,1797379.35102342,59926.0,32638.0,10230.0,64.1692546583851,55.07014372888719,0.1707105430030371,-1.9342557998563674,0.5082882617440355,-0.03637852974765614,-0.38787499418359284,17.45482918680283,11,55.1x,17.1%,64.2%
TXN.O,Texas Instruments Inc,0.0001826,165914.563452,17266.0,7889.0,2053.0,-2.6185270118927,21.031127323108127,0.11890420479555196,0.3944260421766507,-0.32911765419220124,-1.2822786114904616,-0.39800283247102375,16.96115741966481,12,21.0x,11.9%,-2.6%
GFS.O,GlobalFoundries Inc,3.809e-05,21165.91614345,6791.0,2156.0,506.0,-11.2328128641342,9.81721527989332,0.07451038138713002,1.1615937253402626,-1.0467064983284553,-1.4429747624788067,-0.5030969104729455,11.838447347631254,13,9.8x,7.5%,-11.2%
NVDA.O,NVIDIA Corp,0.00017959,4364037.0,187142.0,113205.0,16699.0,33.7329659691712,38.54986087186962,0.08923170640476216,-0.8040679514244503,-0.8087486521125625,-0.6041556533096866,-0.7459665422652662,0.0,14,38.5x,8.9%,33.7%
